Seed,Cost,Gamma,Acc,Sen,Spe,MCC,F1,AUC
131,0.5,0.0625,0.733333333,0.206896552,0.983606557,0.332412938,0.333333333,0.595251555
124,1,0.015625,0.711111111,0.137931034,0.983606557,0.247959115,0.235294118,0.560768796
451,64,0.00390625,0.744444444,0.482758621,0.868852459,0.382349628,0.549019608,0.67580554
689,1,0.0625,0.755555556,0.482758621,0.885245902,0.406614517,0.56,0.684002261
320,1,0.0625,0.755555556,0.482758621,0.885245902,0.406614517,0.56,0.684002261
420,16,0.0078125,0.733333333,0.448275862,0.868852459,0.350400528,0.52,0.658564161
987,1,0.0625,0.755555556,0.482758621,0.885245902,0.406614517,0.56,0.684002261
150,2,0.03125,0.755555556,0.482758621,0.885245902,0.406614517,0.56,0.684002261
489,2,0.00390625,0.711111111,0.103448276,1,0.269318954,0.1875,0.551724138
143,1,0.0625,0.755555556,0.482758621,0.885245902,0.406614517,0.56,0.684002261
323,64,0.00390625,0.744444444,0.482758621,0.868852459,0.382349628,0.549019608,0.67580554
550,0.5,0.0625,0.733333333,0.206896552,0.983606557,0.332412938,0.333333333,0.595251555
740,4,0.015625,0.755555556,0.482758621,0.885245902,0.406614517,0.56,0.684002261
430,1,0.0625,0.755555556,0.482758621,0.885245902,0.406614517,0.56,0.684002261
303,1,0.0625,0.755555556,0.482758621,0.885245902,0.406614517,0.56,0.684002261
264,0.5,0.0625,0.733333333,0.206896552,0.983606557,0.332412938,0.333333333,0.595251555
456,2,0.03125,0.755555556,0.482758621,0.885245902,0.406614517,0.56,0.684002261
970,2,0.03125,0.755555556,0.482758621,0.885245902,0.406614517,0.56,0.684002261
950,64,0.00390625,0.744444444,0.482758621,0.868852459,0.382349628,0.549019608,0.67580554
880,1,0.03125,0.755555556,0.310344828,0.967213115,0.396011399,0.45,0.638778971
