Seed,Cost,Gamma,Acc,Sen,Spe,MCC,F1,AUC
131,0.25,1,0.733333333,0.448275862,0.868852459,0.350400528,0.52,0.658564161
124,64,0.0078125,0.755555556,0.482758621,0.885245902,0.406614517,0.56,0.684002261
451,4,0.03125,0.755555556,0.482758621,0.885245902,0.406614517,0.56,0.684002261
689,0.5,0.125,0.744444444,0.482758621,0.868852459,0.382349628,0.549019608,0.67580554
320,1,0.125,0.766666667,0.482758621,0.901639344,0.432096729,0.571428571,0.692198982
420,64,0.0078125,0.755555556,0.482758621,0.885245902,0.406614517,0.56,0.684002261
987,2,0.0625,0.744444444,0.482758621,0.868852459,0.382349628,0.549019608,0.67580554
150,8,0.0078125,0.711111111,0.206896552,0.950819672,0.245683801,0.315789474,0.578858112
489,1,0.03125,0.722222222,0.24137931,0.950819672,0.285805122,0.358974359,0.596099491
143,4,0.03125,0.755555556,0.482758621,0.885245902,0.406614517,0.56,0.684002261
323,2,0.0625,0.744444444,0.482758621,0.868852459,0.382349628,0.549019608,0.67580554
550,1,0.03125,0.722222222,0.24137931,0.950819672,0.285805122,0.358974359,0.596099491
740,2,0.0625,0.744444444,0.482758621,0.868852459,0.382349628,0.549019608,0.67580554
430,4,0.03125,0.755555556,0.482758621,0.885245902,0.406614517,0.56,0.684002261
303,256,0.00390625,0.755555556,0.482758621,0.885245902,0.406614517,0.56,0.684002261
264,4,0.015625,0.733333333,0.310344828,0.93442623,0.325392052,0.428571429,0.622385529
456,1,0.125,0.766666667,0.482758621,0.901639344,0.432096729,0.571428571,0.692198982
970,0.25,0.5,0.711111111,0.379310345,0.868852459,0.284180732,0.458333333,0.624081402
950,1,0.03125,0.722222222,0.24137931,0.950819672,0.285805122,0.358974359,0.596099491
880,16,0.00390625,0.722222222,0.206896552,0.967213115,0.285913644,0.324324324,0.587054833
